Bandit,Reward,Algorithm
2,3.1954755461487014,EpsilonGreedy Algorithm
2,3.24153801591565,EpsilonGreedy Algorithm
3,3.8706719789028816,EpsilonGreedy Algorithm
3,2.9725995323765657,EpsilonGreedy Algorithm
3,4.116615611866121,EpsilonGreedy Algorithm
1,2.480758253413746,EpsilonGreedy Algorithm
3,4.7012297331584865,EpsilonGreedy Algorithm
3,4.36066900121561,EpsilonGreedy Algorithm
3,5.331917050426483,EpsilonGreedy Algorithm
3,4.667572743333033,EpsilonGreedy Algorithm
3,2.126626006893364,EpsilonGreedy Algorithm
3,4.323425288115678,EpsilonGreedy Algorithm
3,5.669799389145975,EpsilonGreedy Algorithm
3,5.219555153839511,EpsilonGreedy Algorithm
3,3.890756379051027,EpsilonGreedy Algorithm
3,4.177902548443712,EpsilonGreedy Algorithm
3,5.836966574214295,EpsilonGreedy Algorithm
3,3.614320444018806,EpsilonGreedy Algorithm
3,4.054916260314071,EpsilonGreedy Algorithm
0,-0.30480855601031465,EpsilonGreedy Algorithm
3,2.4657382465163185,EpsilonGreedy Algorithm
3,4.559032314630196,EpsilonGreedy Algorithm
3,3.5053291013836105,EpsilonGreedy Algorithm
3,4.538048422299071,EpsilonGreedy Algorithm
3,4.414795601085702,EpsilonGreedy Algorithm
3,4.358180290559721,EpsilonGreedy Algorithm
3,4.870377768807556,EpsilonGreedy Algorithm
3,4.955794751590826,EpsilonGreedy Algorithm
3,4.395723703805767,EpsilonGreedy Algorithm
3,2.3160703509346385,EpsilonGreedy Algorithm
3,5.7327954301761554,EpsilonGreedy Algorithm
3,2.7303138168116377,EpsilonGreedy Algorithm
3,3.341668183832703,EpsilonGreedy Algorithm
3,3.81337055281547,EpsilonGreedy Algorithm
3,2.6771874754670906,EpsilonGreedy Algorithm
3,4.353024741309257,EpsilonGreedy Algorithm
3,2.4936901851317015,EpsilonGreedy Algorithm
3,4.2709104534827,EpsilonGreedy Algorithm
3,4.029798604614498,EpsilonGreedy Algorithm
3,2.8509034577960852,EpsilonGreedy Algorithm
3,4.348979313179405,EpsilonGreedy Algorithm
3,3.096523480179509,EpsilonGreedy Algorithm
3,4.925366099974471,EpsilonGreedy Algorithm
3,3.432677527386794,EpsilonGreedy Algorithm
3,3.8916944033022696,EpsilonGreedy Algorithm
3,5.047338410885115,EpsilonGreedy Algorithm
3,3.553560520828883,EpsilonGreedy Algorithm
3,3.94341201316526,EpsilonGreedy Algorithm
3,3.1423488275457334,EpsilonGreedy Algorithm
3,3.3900518364791568,EpsilonGreedy Algorithm
3,4.280259912268877,EpsilonGreedy Algorithm
3,5.6807117419211615,EpsilonGreedy Algorithm
3,2.5357598518460094,EpsilonGreedy Algorithm
3,2.7066406223550645,EpsilonGreedy Algorithm
3,5.4871903861889,EpsilonGreedy Algorithm
3,3.424641153712066,EpsilonGreedy Algorithm
3,3.9136865067028723,EpsilonGreedy Algorithm
3,3.942168426650049,EpsilonGreedy Algorithm
3,3.7986107321453697,EpsilonGreedy Algorithm
3,4.428305717360816,EpsilonGreedy Algorithm
3,5.430357906274407,EpsilonGreedy Algorithm
3,4.383881385756333,EpsilonGreedy Algorithm
3,4.391774653801792,EpsilonGreedy Algorithm
3,5.856500797911057,EpsilonGreedy Algorithm
3,3.957202307252368,EpsilonGreedy Algorithm
3,4.41574005351349,EpsilonGreedy Algorithm
3,3.776652203408133,EpsilonGreedy Algorithm
3,6.266334988826544,EpsilonGreedy Algorithm
3,3.9017462619324568,EpsilonGreedy Algorithm
3,4.206313440318465,EpsilonGreedy Algorithm
3,3.849169037104685,EpsilonGreedy Algorithm
3,3.371365336854793,EpsilonGreedy Algorithm
3,2.744241282170515,EpsilonGreedy Algorithm
3,3.637771438581712,EpsilonGreedy Algorithm
3,3.98555759864126,EpsilonGreedy Algorithm
3,4.584989921757525,EpsilonGreedy Algorithm
3,4.885361807459109,EpsilonGreedy Algorithm
3,5.754340224731163,EpsilonGreedy Algorithm
3,4.295427514661614,EpsilonGreedy Algorithm
3,4.742772752228698,EpsilonGreedy Algorithm
3,5.084637893620091,EpsilonGreedy Algorithm
3,3.675006010820767,EpsilonGreedy Algorithm
3,5.04656878127156,EpsilonGreedy Algorithm
3,3.469772519109584,EpsilonGreedy Algorithm
3,3.944745986501819,EpsilonGreedy Algorithm
3,5.091738350566368,EpsilonGreedy Algorithm
3,4.843979962387594,EpsilonGreedy Algorithm
3,5.410607415099584,EpsilonGreedy Algorithm
3,4.130328276643589,EpsilonGreedy Algorithm
3,2.88820197660013,EpsilonGreedy Algorithm
3,5.2748327295967075,EpsilonGreedy Algorithm
3,2.380436604820579,EpsilonGreedy Algorithm
3,3.3689630925221894,EpsilonGreedy Algorithm
3,6.410392908004137,EpsilonGreedy Algorithm
3,3.1347723953988096,EpsilonGreedy Algorithm
3,5.3159448486753496,EpsilonGreedy Algorithm
3,2.7810170719208065,EpsilonGreedy Algorithm
3,3.6541144317327103,EpsilonGreedy Algorithm
3,3.199398258349808,EpsilonGreedy Algorithm
3,5.2981990966891255,EpsilonGreedy Algorithm
3,2.7925570747937867,EpsilonGreedy Algorithm
3,5.154757331386501,EpsilonGreedy Algorithm
3,4.165552762876954,EpsilonGreedy Algorithm
3,5.672537803740037,EpsilonGreedy Algorithm
3,4.648969715931037,EpsilonGreedy Algorithm
3,3.3967228340644975,EpsilonGreedy Algorithm
3,3.231638168230014,EpsilonGreedy Algorithm
3,2.1145509644721274,EpsilonGreedy Algorithm
3,2.4763962907691806,EpsilonGreedy Algorithm
3,2.2885472822088997,EpsilonGreedy Algorithm
3,3.434155421645198,EpsilonGreedy Algorithm
3,4.139043049226995,EpsilonGreedy Algorithm
3,4.302070595463424,EpsilonGreedy Algorithm
3,5.372453767257886,EpsilonGreedy Algorithm
3,3.5841063254460455,EpsilonGreedy Algorithm
3,3.742271988532424,EpsilonGreedy Algorithm
3,4.538160974599132,EpsilonGreedy Algorithm
3,5.182120227136997,EpsilonGreedy Algorithm
3,3.999819265408747,EpsilonGreedy Algorithm
3,2.2517645615046202,EpsilonGreedy Algorithm
3,3.5452123713661243,EpsilonGreedy Algorithm
3,4.115881828811884,EpsilonGreedy Algorithm
3,4.258119300072338,EpsilonGreedy Algorithm
3,5.24501762266814,EpsilonGreedy Algorithm
3,4.064483396864274,EpsilonGreedy Algorithm
3,2.6864147080009273,EpsilonGreedy Algorithm
3,4.944805133517634,EpsilonGreedy Algorithm
3,4.198746696941387,EpsilonGreedy Algorithm
3,5.398769581829015,EpsilonGreedy Algorithm
3,2.563766248343609,EpsilonGreedy Algorithm
3,3.278450330452407,EpsilonGreedy Algorithm
3,3.098636071836626,EpsilonGreedy Algorithm
3,4.083144016325527,EpsilonGreedy Algorithm
3,5.350978192261682,EpsilonGreedy Algorithm
3,4.915620576751899,EpsilonGreedy Algorithm
3,2.9112459882823165,EpsilonGreedy Algorithm
3,4.473818925070773,EpsilonGreedy Algorithm
3,4.466249869854295,EpsilonGreedy Algorithm
3,3.8778965389579,EpsilonGreedy Algorithm
3,3.6842798076942493,EpsilonGreedy Algorithm
3,2.5800462649162395,EpsilonGreedy Algorithm
3,4.2304539371976375,EpsilonGreedy Algorithm
3,3.2241858872866422,EpsilonGreedy Algorithm
3,4.026126211689752,EpsilonGreedy Algorithm
3,3.8065974188851732,EpsilonGreedy Algorithm
3,6.090778227657357,EpsilonGreedy Algorithm
3,4.444179689893455,EpsilonGreedy Algorithm
3,4.7814175806340184,EpsilonGreedy Algorithm
3,4.864046025143241,EpsilonGreedy Algorithm
3,3.8861382812108256,EpsilonGreedy Algorithm
