Trial,Bandit,Reward,Algorithm
1,2,3.1954755461487014,EpsilonGreedy Algorithm
2,2,3.24153801591565,EpsilonGreedy Algorithm
3,3,3.8706719789028816,EpsilonGreedy Algorithm
4,3,2.9725995323765657,EpsilonGreedy Algorithm
5,3,4.116615611866121,EpsilonGreedy Algorithm
6,1,2.480758253413746,EpsilonGreedy Algorithm
7,3,4.7012297331584865,EpsilonGreedy Algorithm
8,3,4.36066900121561,EpsilonGreedy Algorithm
9,3,5.331917050426483,EpsilonGreedy Algorithm
10,3,4.667572743333033,EpsilonGreedy Algorithm
11,3,2.126626006893364,EpsilonGreedy Algorithm
12,3,4.323425288115678,EpsilonGreedy Algorithm
13,3,5.669799389145975,EpsilonGreedy Algorithm
14,3,5.219555153839511,EpsilonGreedy Algorithm
15,3,3.890756379051027,EpsilonGreedy Algorithm
16,3,4.177902548443712,EpsilonGreedy Algorithm
17,3,5.836966574214295,EpsilonGreedy Algorithm
18,3,3.614320444018806,EpsilonGreedy Algorithm
19,3,4.054916260314071,EpsilonGreedy Algorithm
20,0,-0.30480855601031465,EpsilonGreedy Algorithm
21,3,2.4657382465163185,EpsilonGreedy Algorithm
22,3,4.559032314630196,EpsilonGreedy Algorithm
23,3,3.5053291013836105,EpsilonGreedy Algorithm
24,3,4.538048422299071,EpsilonGreedy Algorithm
25,3,4.414795601085702,EpsilonGreedy Algorithm
26,3,4.358180290559721,EpsilonGreedy Algorithm
27,3,4.870377768807556,EpsilonGreedy Algorithm
28,3,4.955794751590826,EpsilonGreedy Algorithm
29,3,4.395723703805767,EpsilonGreedy Algorithm
30,3,2.3160703509346385,EpsilonGreedy Algorithm
31,3,5.7327954301761554,EpsilonGreedy Algorithm
32,3,2.7303138168116377,EpsilonGreedy Algorithm
33,3,3.341668183832703,EpsilonGreedy Algorithm
34,3,3.81337055281547,EpsilonGreedy Algorithm
35,3,2.6771874754670906,EpsilonGreedy Algorithm
36,3,4.353024741309257,EpsilonGreedy Algorithm
37,3,2.4936901851317015,EpsilonGreedy Algorithm
38,3,4.2709104534827,EpsilonGreedy Algorithm
39,3,4.029798604614498,EpsilonGreedy Algorithm
40,3,2.8509034577960852,EpsilonGreedy Algorithm
41,3,4.348979313179405,EpsilonGreedy Algorithm
42,3,3.096523480179509,EpsilonGreedy Algorithm
43,3,4.925366099974471,EpsilonGreedy Algorithm
44,3,3.432677527386794,EpsilonGreedy Algorithm
45,3,3.8916944033022696,EpsilonGreedy Algorithm
46,3,5.047338410885115,EpsilonGreedy Algorithm
47,3,3.553560520828883,EpsilonGreedy Algorithm
48,3,3.94341201316526,EpsilonGreedy Algorithm
49,3,3.1423488275457334,EpsilonGreedy Algorithm
50,3,3.3900518364791568,EpsilonGreedy Algorithm
51,3,4.280259912268877,EpsilonGreedy Algorithm
52,3,5.6807117419211615,EpsilonGreedy Algorithm
53,3,2.5357598518460094,EpsilonGreedy Algorithm
54,3,2.7066406223550645,EpsilonGreedy Algorithm
55,3,5.4871903861889,EpsilonGreedy Algorithm
56,3,3.424641153712066,EpsilonGreedy Algorithm
57,3,3.9136865067028723,EpsilonGreedy Algorithm
58,3,3.942168426650049,EpsilonGreedy Algorithm
59,3,3.7986107321453697,EpsilonGreedy Algorithm
60,3,4.428305717360816,EpsilonGreedy Algorithm
61,3,5.430357906274407,EpsilonGreedy Algorithm
62,3,4.383881385756333,EpsilonGreedy Algorithm
63,3,4.391774653801792,EpsilonGreedy Algorithm
64,3,5.856500797911057,EpsilonGreedy Algorithm
65,3,3.957202307252368,EpsilonGreedy Algorithm
66,3,4.41574005351349,EpsilonGreedy Algorithm
67,3,3.776652203408133,EpsilonGreedy Algorithm
68,3,6.266334988826544,EpsilonGreedy Algorithm
69,3,3.9017462619324568,EpsilonGreedy Algorithm
70,3,4.206313440318465,EpsilonGreedy Algorithm
71,3,3.849169037104685,EpsilonGreedy Algorithm
72,3,3.371365336854793,EpsilonGreedy Algorithm
73,3,2.744241282170515,EpsilonGreedy Algorithm
74,3,3.637771438581712,EpsilonGreedy Algorithm
75,3,3.98555759864126,EpsilonGreedy Algorithm
76,3,4.584989921757525,EpsilonGreedy Algorithm
77,3,4.885361807459109,EpsilonGreedy Algorithm
78,3,5.754340224731163,EpsilonGreedy Algorithm
79,3,4.295427514661614,EpsilonGreedy Algorithm
80,3,4.742772752228698,EpsilonGreedy Algorithm
81,3,5.084637893620091,EpsilonGreedy Algorithm
82,3,3.675006010820767,EpsilonGreedy Algorithm
83,3,5.04656878127156,EpsilonGreedy Algorithm
84,3,3.469772519109584,EpsilonGreedy Algorithm
85,3,3.944745986501819,EpsilonGreedy Algorithm
86,3,5.091738350566368,EpsilonGreedy Algorithm
87,3,4.843979962387594,EpsilonGreedy Algorithm
88,3,5.410607415099584,EpsilonGreedy Algorithm
89,3,4.130328276643589,EpsilonGreedy Algorithm
90,3,2.88820197660013,EpsilonGreedy Algorithm
91,3,5.2748327295967075,EpsilonGreedy Algorithm
92,3,2.380436604820579,EpsilonGreedy Algorithm
93,3,3.3689630925221894,EpsilonGreedy Algorithm
94,3,6.410392908004137,EpsilonGreedy Algorithm
95,3,3.1347723953988096,EpsilonGreedy Algorithm
96,3,5.3159448486753496,EpsilonGreedy Algorithm
97,3,2.7810170719208065,EpsilonGreedy Algorithm
98,3,3.6541144317327103,EpsilonGreedy Algorithm
99,3,3.199398258349808,EpsilonGreedy Algorithm
100,3,5.2981990966891255,EpsilonGreedy Algorithm
